src_port,dst_port,length,src_ip_bytes,dst_ip_bytes,predicted_anomaly
53316,443,170,15,11,1
53316,443,1420,15,11,-1
53316,443,901,15,11,-1
51864,443,60,15,12,1
443,53316,52,11,15,1
443,53316,91,11,15,1
443,51864,60,12,15,1
51864,443,52,15,12,1
51864,443,569,15,12,1
53316,443,52,15,11,1
443,53316,151,11,15,1
53316,443,52,15,11,1
53316,443,87,15,11,1
443,51864,151,12,15,1
51864,443,52,15,12,1
51864,443,489,15,12,1
443,53316,52,11,15,1
443,51864,1420,12,15,1
443,51864,1420,12,15,1
51864,443,52,15,12,1
443,51864,1420,12,15,1
443,51864,479,12,15,1
51864,443,52,15,12,1
51864,443,1420,15,12,-1
51864,443,1420,15,12,-1
51864,443,1361,15,12,-1
443,51864,52,12,15,1
443,51864,155,12,15,1
443,51864,517,12,15,1
51864,443,52,15,12,1
51864,443,76,15,12,1
51864,443,52,15,12,1
443,51864,52,12,15,1
443,51864,52,12,15,1
39770,443,98,15,12,1
443,39770,98,12,15,1
39770,443,52,15,12,1
39770,443,95,15,12,1
443,39770,52,12,15,1
34420,443,95,15,13,1
443,34420,52,13,15,1
54654,443,60,15,14,1
443,34420,91,13,15,1
34420,443,52,15,13,1
54662,443,60,15,14,1
443,54654,60,14,15,1
54654,443,52,15,14,1
54654,443,569,15,14,1
39770,443,95,15,12,1
443,39770,52,12,15,1
443,54662,60,14,15,1
54662,443,52,15,14,1
54662,443,569,15,14,1
443,54654,52,14,15,1
443,54654,1420,14,15,1
54654,443,52,15,14,1
443,54654,1365,14,15,1
54654,443,52,15,14,1
54654,443,145,15,14,1
443,54662,52,14,15,1
443,54662,1420,14,15,1
54662,443,52,15,14,1
443,54662,1364,14,15,1
54662,443,52,15,14,1
54662,443,145,15,14,1
443,54654,326,14,15,1
443,54654,121,14,15,1
54654,443,52,15,14,1
54654,443,229,15,14,1
54654,443,350,15,14,1
54654,443,1420,15,14,-1
54654,443,1080,15,14,-1
54654,443,90,15,14,1
443,54662,326,14,15,1
443,54662,121,14,15,1
54662,443,246,15,14,1
54662,443,83,15,14,1
54662,443,52,15,14,1
443,54654,90,14,15,1
443,54654,94,14,15,1
54654,443,52,15,14,1
443,54654,52,14,15,1
443,54654,94,14,15,1
443,54654,407,14,15,1
54654,443,52,15,14,1
443,54654,405,14,15,1
54654,443,52,15,14,1
443,34420,76,13,15,1
34420,443,52,15,13,1
34420,443,80,15,13,1
443,34420,52,13,15,1
443,54662,90,14,15,1
54662,443,40,15,14,1
443,54662,52,14,15,1
54662,443,40,15,14,1
54632,443,40,15,11,1
443,38368,91,13,15,1
443,38368,76,13,15,1
443,38368,52,13,15,1
38368,443,52,15,13,1
38368,443,52,15,13,1
443,54632,40,11,15,1
443,38368,52,13,15,1
60508,443,52,15,14,1
443,60508,52,14,15,1
34212,443,91,15,13,1
443,34212,52,13,15,1
443,34212,91,13,15,1
34212,443,52,15,13,1
60260,443,91,15,13,1
443,60260,52,13,15,1
443,60260,91,13,15,1
60260,443,52,15,13,1
35848,443,40,15,12,1
443,35848,40,12,15,1
34420,443,95,15,13,1
443,34420,52,13,15,1
443,34420,91,13,15,1
34420,443,52,15,13,1
443,34420,76,13,15,1
34420,443,52,15,13,1
34420,443,80,15,13,1
443,34420,52,13,15,1
34420,443,95,15,13,1
443,34420,52,13,15,1
443,34420,91,13,15,1
34420,443,52,15,13,1
